Date,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns
2023-02-15,SPY,412.4060668945313,400,400,1,-0.1,0.0,0.0,0.0,0.0,10414.059936523438,10414.059936523438,0.0,SPY,412.4060668945313,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,412.4060668945313,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,412.4060668945313,400,400,1,-0.1,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,412.4060668945313,400,400,0,-0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10456.119689941406,0.0020468506984332446
2023-02-16,SPY,406.7277221679688,400,400,1,-0.1,0.0,0.0,0.0,0.0,10414.059936523438,10414.059936523438,0.0,SPY,406.7277221679688,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,406.7277221679688,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,406.7277221679688,400,400,1,-0.1,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,406.7277221679688,400,400,0,-0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10365.266174316406,-0.008689027891713885
2023-02-17,SPY,405.7116088867188,400,400,1,-0.1,0.0,0.0,0.0,0.0,10414.059936523438,10414.059936523438,0.0,SPY,405.7116088867188,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,405.7116088867188,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,405.7116088867188,400,400,1,-0.1,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,405.7116088867188,400,400,0,-0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10349.008361816406,-0.0015684896293627348
2023-02-21,SPY,397.5726623535156,400,400,1,0.1,0.1,0.1,2.0,2.0,9618.914611816406,10414.059936523438,0.0,SPY,397.5726623535156,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,397.5726623535156,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,397.5726623535156,400,400,1,0.1,0.1,0.1,2.0,2.0,9204.854675292969,10000.0,0.0,SPY,397.5726623535156,400,400,0,0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10218.785217285156,-0.012583151929002168
2023-02-22,SPY,397.0247497558594,400,400,1,0.1,0.2,0.1,2.0,4.0,8824.865112304688,10412.964111328125,-0.00010522555103309461,SPY,397.0247497558594,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,397.0247497558594,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,397.0247497558594,400,400,1,0.1,0.2,0.1,2.0,4.0,8410.80517578125,9998.904174804688,-0.00010958251953130382,SPY,397.0247497558594,400,400,0,0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10210.018615722656,-0.000857890774303649
2023-02-23,SPY,399.1366882324219,400,400,1,0.1,0.30000000000000004,0.10000000000000003,2.0,6.0,8026.591735839844,10421.411865234375,0.000811272738092006,SPY,399.1366882324219,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,399.1366882324219,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,399.1366882324219,400,400,1,0.1,0.30000000000000004,0.10000000000000003,2.0,6.0,7612.531799316406,10007.351928710938,0.0008448679733861209,SPY,399.1366882324219,400,400,0,0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10243.809631347656,0.0033095939289438103
2023-02-24,SPY,394.8729553222656,400,400,1,0.1,0.4,0.09999999999999998,2.0,8.0,7236.8458251953125,10395.829467773438,-0.002454791902648079,SPY,394.8729553222656,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,394.8729553222656,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,394.8729553222656,400,400,1,0.1,0.4,0.09999999999999998,2.0,8.0,6822.785888671875,9981.76953125,-0.002556360328204499,SPY,394.8729553222656,400,400,0,0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10175.589904785156,-0.006659605070533203
2023-02-27,SPY,396.21783447265625,400,400,1,0.1,0.5,0.09999999999999998,2.0,10.0,6444.41015625,10406.588500976562,0.001034937446451778,SPY,396.21783447265625,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,396.21783447265625,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,396.21783447265625,400,400,1,0.1,0.5,0.09999999999999998,2.0,10.0,6030.3502197265625,9992.528564453125,0.0010778683247936183,SPY,396.21783447265625,400,400,0,0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10197.107971191406,0.0021146750810123738
2023-02-28,SPY,394.75341796875,400,400,1,0.1,0.6,0.09999999999999998,2.0,12.0,5654.9033203125,10391.9443359375,-0.001407201316520612,SPY,394.75341796875,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,394.75341796875,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,394.75341796875,400,400,1,0.1,0.6,0.09999999999999998,2.0,12.0,5240.8433837890625,9977.884399414062,-0.0014655114513414391,SPY,394.75341796875,400,400,0,0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10173.677307128906,-0.002297775421099324
2023-03-01,SPY,393.23919677734375,400,400,1,0.1,0.7,0.09999999999999998,2.0,14.0,4868.4249267578125,10373.773681640625,-0.0017485326816115698,SPY,393.23919677734375,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,393.23919677734375,400,400,1,0.1,0.1,0.1,2.0,2.0,9213.521606445312,10000.0,0.0,SPY,393.23919677734375,400,400,0,0.0,0.6,0.0,0.0,12.0,5240.8433837890625,9959.713745117188,-0.0018210928859770936,SPY,393.23919677734375,400,400,0,0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10149.449768066406,-0.0023813944880601845
